##################################################
# SentiWordNet v3.0.0 (1 June 2010)
# Copyright 2010 ISTI-CNR.
# All right reserved.
#
# SentiWordNet is distributed under the Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0) license.
# http://creativecommons.org/licenses/by-sa/3.0/
#
# For any information about SentiWordNet:
# Web: http://sentiwordnet.isti.cnr.it
#
# The values PosScore and NegScore are the positivity and negativity
# score assigned by SentiWordNet.
# The objectivity score can be calculated as:
# ObjScore = 1 - (PosScore + NegScore)
#
# This is a shorter version of the list found in the SentiWordNet website, modified
# for this assignment.
#
# -------
# PosScore	NegScore	Word/Term
##################################################
0.125	0	able
0	0.75	unable
0	0	dying
0	0	moribund
0	0	greedy
0	0	ideal
0.125	0	rich
0.125	0.5	rife
0	0	rampant
0	0.25	scarce
0	0.75	battered
0.125	0.375	unacceptable
0	0.375	objectionable
0.625	0	accessible
0.375	0	reachable
0.5	0	accommodative
0.125	0.25	uncooperative
0.5	0	accurate
0.625	0	faithful
0.625	0.25	dead-on
0.125	0.625	inaccurate
0.125	0.75	wrong
0	0.5	unfaithful
0	0.75	unaccustomed
0	0	predatory
0.5	0	hot
0.25	0	sporty
0.375	0.5	inactive
0.25	0.125	brisk
0	0	dark
0	0.5	sluggish
0	0	indolent
0	0	proactive
0.25	0.625	dead
0	0	dynamic
0	0	passive
0.5	0	effective
0	0.375	chronic
0.125	0.25	deadly
0.25	0	adaptive
0	0	addicted
0.5	0	clean
0	0.5	unequal
0	0	tenacious
0	0	sticky
0.125	0	substantive
0.25	0	adroit
0.625	0	neat
0.625	0	ingenious
0.25	0.25	dextrous
0.25	0	handy
0.625	0	advantageous
0.625	0	good
0.75	0	positive
0	0.875	negative
0.625	0.25	adventurous
0	0	safe
0.75	0	better
0.625	0	well
0.5	0.5	impressed
0	0.375	struck
0.125	0.125	unaffected
0.125	0	superior
0.25	0.625	untouched
0	0	unnatural
0	0	strained
0	0.625	dissident
0.125	0.875	dismissive
0	0	aground
0	0.5	afraid
0	0.625	alarmed
0.125	0.625	apprehensive
0.125	0.375	fearful
0	0.125	scared
0	0.75	numb
0	0.625	unnerved
0	0	hostile
0.375	0.375	hectic
0.125	0.625	hysterical
0	0	turbulent
0.25	0.25	seething
0.5	0	agreeable
0.125	0.875	disagreeable
0	0.5	vexing
0.333	0.667	harsh
